ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
100506961,Mutiara Bukit Raja 2 Apartment,,RM 1 000 per month,Selangor - Klang,Apartment,3,,2,680 sq.ft.,Partially Furnished,,,Selangor
100545292,Vista Bangi,,RM 1 200 per month,Selangor - Kajang,Condominium,1,1,1,500 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT, Air-Cond, Washing Machine",Selangor
100545288,Vista Bangi,,RM 1 200 per month,Selangor - Serdang,Condominium,1,1,1,500 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT, Air-Cond, Washing Machine",Selangor
100446878,Gravit8,2018,RM 2 000 per month,Selangor - Port Klang,Service Residence,2,,2,871 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Gymnasium",Cooking Allowed,Selangor
100366978,LakeFront Residence,,RM 1 700 per month,Selangor - Cyberjaya,Condominium,3,2,2,950 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track","Air-Cond, Cooking Allowed",Selangor
100545367,Kristal Villa,2015,RM 1 200 per month,Selangor - Kajang,Condominium,3,1,2,1008 sq.ft.,Partially Furnished,"Security, Swimming Pool, Playground, Parking, Lift","Cooking Allowed, Near KTM/LRT",Selangor
100445476,Koi Tropika,2006,RM 1 300 per month,Selangor - Puchong,Condominium,3,2,2,1050 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Selangor
99243646,Flora Damansara,2015,RM 700 per month,Selangor - Damansara Perdana,Flat,3,,2,700 sq.ft.,Not Furnished,"Lift, Playground, Jogging Track, Minimart",Cooking Allowed,Selangor
97261240,Lestari Apartment,,RM 600 per month,Selangor - Petaling Jaya,Apartment,3,,2,650 sq.ft.,Partially Furnished,"Parking, Playground, Lift, Security, Jogging Track, Minimart","Cooking Allowed, Near KTM/LRT",Selangor
100545066,Utropolis Urbano,2018,RM 1 700 per month,Selangor - Shah Alam,Apartment,2,,1,750 sq.ft.,Fully Furnished,"Security, Jogging Track, Tennis Court, Squash Court, Barbeque area, Parking, Minimart, Swimming Pool, Gymnasium, Playground, Lift, Sauna, Multipurpose hall, Club house",,Selangor
100545056,Putra Impian Apartment,,RM 800 per month,Selangor - Seri Kembangan,Apartment,3,1,2,747 sq.ft.,Partially Furnished,"Playground, Parking",Cooking Allowed,Selangor
100545219,Lakeview Apartments,,RM 1 200 per month,Selangor - Gombak,Apartment,3,1,2,870 sq.ft.,Fully Furnished,"Playground, Gymnasium, Lift, Parking, Minimart, Swimming Pool, Security, Squash Court","Air-Cond, Cooking Allowed",Selangor
100544991,Flora Damansara,2015,RM 700 per month,Selangor - Damansara Perdana,Condominium,3,,2,750 sq.ft.,Not Furnished,"Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor
100544985,Villa Lagenda,2004,RM 1 800 per month,Selangor - Selayang,Condominium,3,1,2,1405 sq.ft.,Partially Furnished,,,Selangor
100545042,Seroja Apartments,,RM 1 000 per month,Selangor - Puchong,Apartment,3,1,2,750 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track",Air-Cond,Selangor
100544726,Setia City Residences,2020,RM 2 000 per month,Selangor - Setia Alam,Service Residence,1,,1,458 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100544857,Setia City Residences,2020,RM 1 500 per month,Selangor - Setia Alam,Service Residence,1,,1,400 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100352822,Sri Selayang,,RM 1 200 per month,Selangor - Selayang,Apartment,3,1,2,900 sq.ft.,Fully Furnished,,,Selangor
99889173,Vista Harmoni,,RM 1 000 per month,Selangor - Cheras,Condominium,3,1,2,880 sq.ft.,Not Furnished,"Swimming Pool, Playground, Parking, Security, Lift",Cooking Allowed,Selangor
100030163,Puteri Bayu Apartments (Bayu Puteri),2008,RM 1 200 per month,Selangor - Puchong,Apartment,3,,2,900 sq.ft.,Partially Furnished,,,Selangor
100544661,Indah Condominium,,RM 950 per month,Selangor - Petaling Jaya,Condominium,3,1,2,850 sq.ft.,Not Furnished,"Parking, Security, Playground, Swimming Pool",Near KTM/LRT,Selangor
100544618,Pandora Serviced Residence,2017,RM 1 200 per month,Selangor - Shah Alam,Service Residence,1,1,1,570 sq.ft.,Not Furnished,"Swimming Pool, Gymnasium, Barbeque area, Security, Multipurpose hall, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
100544313,Casa Puteri,,RM 1 500 per month,Selangor - Puchong,Condominium,3,,2,1100 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
98676337,Jelutong Apartment @ Selayang Heights,,RM 800 per month,Selangor - Gombak,Apartment,3,1,2,850 sq.ft.,Not Furnished,"Jogging Track, Parking, Minimart, Lift, Playground",Cooking Allowed,Selangor
100544354,Pangsapuri Meranti,,RM 650 per month,Selangor - Cheras,Flat,3,,1,700 sq.ft.,Partially Furnished,Parking,"Cooking Allowed, Near KTM/LRT",Selangor
99546823,Symphony Tower,2018,RM 950 per month,Selangor - Balakong,Service Residence,1,1,1,500 sq.ft.,Partially Furnished,"Swimming Pool, Jogging Track, Sauna, Multipurpose hall, Security, Gymnasium, Barbeque area, Parking, Lift, Playground","Air-Cond, Cooking Allowed",Selangor
100544487,Sri Bayu (Cheras),,RM 750 per month,Selangor - Cheras,Apartment,3,,2,830 sq.ft.,Partially Furnished,,Cooking Allowed,Selangor
100544485,Setia City Residences,2020,RM 3 000 per month,Selangor - Setia Alam,Service Residence,2,,2,858 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100544417,i-Soho @ i-City,2017,RM 1 200 per month,Selangor - Shah Alam,Studio,1,,1,485 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed, Washing Machine",Selangor
99553222,,,RM 1 400 per month,Selangor - Selayang,Condominium,3,2,3,1210 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Lift, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed",Selangor
100544126,Koi Kinrara,,RM 1 550 per month,Selangor - Puchong,Condominium,3,2,2,1221 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house","Air-Cond, Cooking Allowed",Selangor
100544109,Vista Bangi,,RM 1 200 per month,Selangor - Seri Kembangan,Condominium,1,1,1,500 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT, Air-Cond, Washing Machine",Selangor
100544103,Ara Sentral,,RM 1 200 per month,Selangor - Ara Damansara,Condominium,1,1,1,571 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Club house","Cooking Allowed, Near KTM/LRT",Selangor
100544102,Vista Bangi,,RM 1 200 per month,Selangor - Bandar Mahkota Cheras,Condominium,1,1,1,500 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT, Air-Cond, Washing Machine",Selangor
99972898,Flora Damansara,2015,RM 750 per month,Selangor - Damansara Perdana,Apartment,3,1,2,750 sq.ft.,Not Furnished,"Parking, Security, Lift, Minimart",Cooking Allowed,Selangor
89221553,,,RM 999 per month,Selangor - Kajang,Condominium,3,2,2,1101 sq.ft.,Partially Furnished,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 10, 11, Lift, Parking","Cooking Allowed, Near KTM/LRT",Selangor
100162895,Kenwingston Square Garden,2020,RM 1 100 per month,Selangor - Cyberjaya,Service Residence,1,1,1,450 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Parking, Jogging Track, Barbeque area, Sauna, Multipurpose hall, Minimart, Playground, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor
100543945,Lakefront Homes @ Cyberjaya,2021,RM 1 500 per month,Selangor - Cyberjaya,Condominium,3,2,2,1010 sq.ft.,Partially Furnished,"Lift, Swimming Pool, Gymnasium, Playground, Barbeque area, Multipurpose hall, Jogging Track, Parking, Security","Air-Cond, Washing Machine, Internet",Selangor
100543823,Goodyear Court 10,1997,RM 1 300 per month,Selangor - Subang Jaya,Apartment,3,1,2,979 sq.ft.,Partially Furnished,"Barbeque area, Parking, Minimart, Playground, Security, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
100543916,Palm Spring @ Damansara,2005,RM 1 500 per month,Selangor - Kota Damansara,Condominium,3,,2,936 sq.ft.,Fully Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
99394114,,,RM 2 300 per month,Selangor - Setia Alam,Service Residence,2,2,2,858 sq.ft.,Fully Furnished,"Lift, Barbeque area, Sauna, Minimart, Swimming Pool, Tennis Court, Jogging Track, Parking, Playground, Gymnasium, Squash Court, Security",Air-Cond,Selangor
100543890,Gravit 8 Klang Serviced Apartment,,RM 1 800 per month,Selangor - Klang,Service Residence,3,2,2,870 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Selangor
98061343,Setia City Residences,2020,RM 3 100 per month,Selangor - Setia Alam,Service Residence,3,,2,958 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100543743,Suria Residence @ Bandar Mahkota Cheras,2015,RM 1 400 per month,Selangor - Cheras,Apartment,3,2,2,1247 sq.ft.,Partially Furnished,"Parking, Minimart, Swimming Pool, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor
100543604,Eclipse Residence @ Pan'gaea,2018,RM 1 500 per month,Selangor - Cyberjaya,Service Residence,2,2,2,650 sq.ft.,Fully Furnished,,,Selangor
100543387,3 Elements,,RM 800 per month,Selangor - Seri Kembangan,Studio,1,1,1,530 sq.ft.,Partially Furnished,"Multipurpose hall, Parking, Gymnasium, Security, Swimming Pool, Playground, Barbeque area","Air-Cond, Cooking Allowed",Selangor
100543382,Pangsapuri Salvia,,RM 1 400 per month,Selangor - Kota Damansara,Condominium,3,1,2,807 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
98753984,D’Residency,,RM 1 800 per month,Selangor - Cheras,Condominium,3,2,2,1460 sq.ft.,Partially Furnished,"Parking, Security, Lift",Cooking Allowed,Selangor
100543371,The Wharf (Puchong),2014,RM 1 100 per month,Selangor - Puchong,Service Residence,1,1,1,650 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Jogging Track, Multipurpose hall, Playground, Parking, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor
99547226,"Casa Ria Apartment, Bandar Country Homes",,RM 780 per month,Selangor - Rawang,Apartment,3,1,2,800 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Gymnasium",Cooking Allowed,Selangor
99404987,BSP 21,2018,RM 2 100 per month,Selangor - Bandar Saujana Putra,Service Residence,4,,3,1257 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100543088,"The Glenz, Glenmarie",,RM 1 300 per month,Selangor - Shah Alam,Service Residence,1,1,1,485 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Playground, Security, Lift, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
100543053,Neo Damansara,,RM 1 400 per month,Selangor - Petaling Jaya,Service Residence,1,,1,483 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Sauna, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
100543223,i-Soho @ i-City,2017,RM 1 000 per month,Selangor - Shah Alam,Studio,1,,1,466 sq.ft.,Partially Furnished,,,Selangor
99441461,Empire City,2015,RM 1 100 per month,Selangor - Damansara Perdana,Condominium,1,,2,952 sq.ft.,Partially Furnished,"Security, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
100543014,Parkland Residence,2014,RM 1 300 per month,Selangor - Cheras,Service Residence,2,,2,704 sq.ft.,Not Furnished,"Parking, Security, Playground, Barbeque area, Gymnasium, Jogging Track, Swimming Pool, Sauna, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT",Selangor
99224069,Garden Plaza @ Garden Residence,2015,RM 1 199 per month,Selangor - Cyberjaya,Service Residence,4,1,2,700 sq.ft.,Fully Furnished,"Gymnasium, Swimming Pool, Multipurpose hall, Parking, Security, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
100543059,"Residensi Rimbun, Canopy Hills",,RM 1 300 per month,Selangor - Kajang,Condominium,2,1,1,600 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
100542778,Pandora @ Tropicana Metropark,2017,RM 1 800 per month,Selangor - Subang Jaya,Condominium,1,,1,599 sq.ft.,Fully Furnished,"Security, Playground, Squash Court, Gymnasium, Swimming Pool, Parking",,Selangor
100542776,Aster Residence Cheras,2021,RM 1 600 per month,Selangor - Alam Impian,Condominium,2,2,2,650 sq.ft.,Partially Furnished,"Gymnasium, Swimming Pool, Barbeque area, Parking, Security, Playground, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
100542700,Greenview Residence,2006,RM 1 500 per month,Selangor - Kajang,Condominium,4,,3,1366 sq.ft.,Fully Furnished,"Parking, Minimart, Playground, Gymnasium, Barbeque area, Swimming Pool, Club house, Security, Jogging Track",,Selangor
